,Max Velocity,Avg Velocity,Avg Altitude Drop
0,217.0,163.73,2903.81
1,180.0,128.43,3711.88
2,50.0,47.17,49723.83
3,157.0,111.94,4359.67
4,50.0,38.77,12657.91
5,162.0,118.08,7732.8
6,236.0,176.12,13825.5
7,46.0,38.49,22827.4
8,177.0,115.35,9435.61
9,177.0,112.54,9349.89
10,62.0,52.81,96291.31
11,45.0,45.0,208900.08
12,48.0,42.9,250933.5
13,221.0,165.02,19490.03
14,53.0,41.91,24809.89
15,209.0,128.43,18531.18
16,211.0,155.83,22959.33
17,171.0,125.98,21308.68
18,50.0,44.17,41371.42
19,225.0,159.86,30960.06
20,138.0,105.08,25358.79
21,120.0,96.6,25163.42
22,98.0,44.0,44220.42
23,194.0,148.29,43147.51
24,149.0,120.89,25729.31
25,118.0,88.61,81716.44
26,55.0,51.62,190488.53
27,188.0,115.66,35219.55
28,83.0,44.15,70833.29
29,228.0,161.5,65828.08
30,223.0,168.78,75630.91
31,210.0,159.52,92445.28
32,57.0,46.46,295468.42
33,223.0,158.92,70223.32
34,79.0,50.26,235796.09
35,143.0,105.94,71250.81
36,160.0,112.96,42369.61
37,221.0,158.95,79959.57
38,45.0,42.0,592064.8
39,199.0,150.07,69641.59
40,94.0,39.96,173676.21
41,224.0,162.28,87412.97
42,218.0,146.42,96372.89
43,47.0,45.25,246127.35
44,53.0,42.44,96769.36
45,221.0,159.26,92482.7
46,77.0,33.58,23999.83
47,38.0,32.52,310735.18
48,73.0,60.35,394762.85
49,210.0,156.07,104668.8
50,139.0,111.19,53423.9
51,52.0,47.49,45848.8
52,173.0,116.93,59215.02
53,64.0,51.38,290709.1
54,178.0,131.87,72250.58
55,160.0,157.56,337679.81
56,115.0,98.86,214417.88
57,66.0,31.24,17162.43
58,51.0,48.1,148704.65
59,64.0,52.77,130435.26
60,71.0,65.8,136526.9
61,160.0,110.04,91375.81
62,69.0,43.94,80887.26
63,170.0,124.95,84276.67
64,64.0,51.0,346217.5
65,78.0,45.26,306332.88
66,125.0,44.79,173563.32
67,198.0,144.86,120488.22
68,103.0,52.21,465674.55
69,57.0,56.75,1125630.42
70,59.0,43.95,643432.52
71,104.0,84.79,67409.59
72,56.0,42.44,406775.59
73,48.0,38.53,813858.0
74,34.0,32.93,988558.86
75,49.0,41.31,1064864.0
76,30.0,18.17,477503.66
77,108.0,84.81,65746.24
78,57.0,49.15,115260.81
79,42.0,29.28,406829.67
80,57.0,40.28,97277.47
81,49.0,42.72,188635.35
82,42.0,39.31,249574.73
83,198.0,155.65,143125.7
84,48.0,42.53,108745.89
85,204.0,135.03,100997.03
86,63.0,52.3,146334.04
87,157.0,149.94,472543.03
88,143.0,108.17,73490.24
89,100.0,84.28,119599.07
90,107.0,87.84,76861.67
91,54.0,48.71,990750.06
92,48.0,46.92,272293.02
93,44.0,41.94,64566.39
94,187.0,122.74,104959.32
95,158.0,119.44,92725.39
96,163.0,115.64,89545.81
97,35.0,29.05,271910.88
98,149.0,47.32,75239.9
99,53.0,40.83,102730.2
100,66.0,65.25,1532946.67
101,59.0,41.47,253294.47
102,71.0,68.82,370345.24
103,57.0,50.82,1683686.27
104,40.0,37.39,1030105.94
105,59.0,51.64,663438.07
106,53.0,46.37,531996.03
107,73.0,39.66,57079.71
108,194.0,128.56,105518.7
109,69.0,57.5,1372000.29
110,67.0,66.8,768681.32
111,75.0,74.45,873880.0
112,60.0,50.64,583329.45
113,75.0,74.23,316004.79
114,155.0,141.26,153274.57
115,78.0,72.02,461024.67
116,82.0,75.02,451227.57
117,165.0,119.39,101770.42
118,82.0,78.82,504449.82
119,53.0,43.33,194314.28
120,120.0,101.97,99976.45
121,194.0,128.73,118277.39
122,63.0,60.27,223179.73
123,212.0,159.12,203007.52
124,207.0,162.51,251170.38
125,63.0,50.18,284487.03
126,210.0,149.24,238081.63
127,183.0,114.91,114765.21
128,210.0,162.4,245026.85
129,223.0,160.48,213626.9
130,209.0,160.77,248771.76
131,73.0,62.28,269443.7
132,216.0,154.65,257773.03
133,191.0,149.26,324253.37
134,11.0,9.42,1972639.83
135,227.0,169.43,212488.6
136,227.0,159.92,247923.06
137,234.0,164.28,273039.09
138,64.0,62.56,1536149.75
