,Max Velocity,Avg Velocity
0,217.0,163.73
1,180.0,128.43
2,50.0,47.17
3,157.0,111.94
4,50.0,38.77
5,162.0,118.08
6,236.0,176.12
7,46.0,38.49
8,177.0,115.35
9,177.0,112.54
10,62.0,52.81
11,45.0,45.0
12,48.0,42.9
13,221.0,165.02
14,53.0,41.91
15,209.0,128.43
16,211.0,155.83
17,171.0,125.98
18,50.0,44.17
19,225.0,159.86
20,138.0,105.08
21,120.0,96.6
22,98.0,44.0
23,194.0,148.29
24,149.0,120.89
25,118.0,88.61
26,55.0,51.62
27,188.0,115.66
28,83.0,44.15
29,228.0,161.5
30,223.0,168.78
31,210.0,159.52
32,57.0,46.46
33,223.0,158.92
34,79.0,50.26
35,143.0,105.94
36,160.0,112.96
37,221.0,158.95
38,45.0,42.0
39,199.0,150.07
40,94.0,39.96
41,224.0,162.28
42,218.0,146.42
43,47.0,45.25
44,53.0,42.44
45,221.0,159.26
46,77.0,33.58
47,38.0,32.52
48,73.0,60.35
49,210.0,156.07
50,139.0,111.19
51,52.0,47.49
52,173.0,116.93
53,64.0,51.38
54,178.0,131.87
55,160.0,157.56
56,115.0,98.86
57,66.0,31.24
58,51.0,48.1
59,64.0,52.77
60,71.0,65.8
61,160.0,110.04
62,69.0,43.94
63,170.0,124.95
64,64.0,51.0
65,78.0,45.26
66,125.0,44.79
67,198.0,144.86
68,103.0,52.21
69,57.0,56.75
70,59.0,43.95
71,104.0,84.79
72,56.0,42.44
73,48.0,38.53
74,34.0,32.93
75,49.0,41.31
76,30.0,18.17
77,108.0,84.81
78,57.0,49.15
79,42.0,29.28
80,57.0,40.28
81,49.0,42.72
82,42.0,39.31
83,198.0,155.65
84,48.0,42.53
85,204.0,135.03
86,63.0,52.3
87,157.0,149.94
88,143.0,108.17
89,100.0,84.28
90,107.0,87.84
91,54.0,48.71
92,48.0,46.92
93,44.0,41.94
94,187.0,122.74
95,158.0,119.44
96,163.0,115.64
97,35.0,29.05
98,149.0,47.32
99,53.0,40.83
100,66.0,65.25
101,59.0,41.47
102,71.0,68.82
103,57.0,50.82
104,40.0,37.39
105,59.0,51.64
106,53.0,46.37
107,73.0,39.66
108,194.0,128.56
109,69.0,57.5
110,67.0,66.8
111,75.0,74.45
112,60.0,50.64
113,75.0,74.23
114,155.0,141.26
115,78.0,72.02
116,82.0,75.02
117,165.0,119.39
118,82.0,78.82
119,53.0,43.33
120,120.0,101.97
121,194.0,128.73
122,63.0,60.27
123,212.0,159.12
124,207.0,162.51
